Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,
12-03-2025,14:42,TESLA INC,US88160R1014,NDQ,BATS,2,250.0000,USD,-500.00,USD,-459.52,1.0881,-1.15,-2.00,-462.67,4e9556ed-6b66-41f7-aa69-a37c3cac25ef
12-03-2025,14:41,ADR ON SEA LTD CLASS A,US81141R1005,NSY,CDED,3,131.4100,USD,-394.23,USD,-362.25,1.0883,-0.91,-2.00,-365.15,f0e5541a-64d7-4cb2-807f-3a8e88c949d6
10-03-2025,16:52,AMAZON.COM INC,US0231351067,NDQ,BATS,5,194.5000,USD,-972.50,USD,-898.06,1.0829,-2.25,-2.00,-902.30,b0d1ec33-cbe6-4736-8e3f-c836ea97435e
10-03-2025,15:58,TESLA INC,US88160R1014,NDQ,BATS,4,238.0000,USD,-952.00,USD,-877.91,1.0844,-2.19,-2.00,-882.11,e251ad79-a9f1-4715-a53c-6d99d9d51637
14-02-2025,17:28,TESLA INC,US88160R1014,NDQ,XNAS,2,352.0000,USD,-704.00,USD,-670.16,1.0505,-1.68,-2.00,-673.84,e1311487-6bd8-4813-8360-c3c208545fe3
12-02-2025,11:28,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,11,138.9000,EUR,-1527.90,EUR,-1527.90,,0.00,-1.00,-1528.90,79e28323-daa3-44d9-8406-cb61eed2fcd4
27-01-2025,17:05,ADR ON SEA LTD CLASS A,US81141R1005,NSY,XNAS,9,116.1000,USD,-1044.90,USD,-994.86,1.0503,-2.49,-2.00,-999.35,b23b152b-48db-43ec-a7a2-4e7617468594
22-01-2025,15:30,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,10,110.6080,EUR,-1106.08,EUR,-1106.08,,0.00,-1.00,-1107.08,c667ae27-797e-4967-a043-ff7fbb400ec4
14-01-2025,17:22,MERCADOLIBRE INC,US58733R1023,NDQ,ARCX,1,1763.2000,USD,-1763.20,USD,-1713.19,1.0292,-4.28,-2.00,-1719.47,3f67ef4c-df88-4e33-ac4d-d68de98c5838
11-10-2024,09:04,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,13,100.2110,EUR,-1302.74,EUR,-1302.74,,0.00,-1.00,-1303.74,557458d6-5ee5-47ee-8f42-5377337d2620
